iter	RMSE
794	0.138015053
795	0.1374142186
796	0.1373630774
797	0.1372407938
798	0.1372084581
799	0.1371086483
800	0.1370106962
801	0.1368927944
802	0.1366186649
803	0.136241373
804	0.1361277562
805	0.1360641911
806	0.1356192324
807	0.1353227457
808	0.1353006258
809	0.1352091024
810	0.1348597267
811	0.1345731455
812	0.1345475199
813	0.1344473988
814	0.1343447197
815	0.1339640677
816	0.1337153265
817	0.1332466403
818	0.1332149706
819	0.1330671886
820	0.132683262
821	0.1326014972
822	0.1325834935
823	0.1321952373
824	0.1319830959
825	0.1316062865
826	0.1313967002
827	0.1311355608
828	0.1309739787
829	0.1309445377
830	0.1306405609
831	0.1304069341
832	0.1301787288
833	0.1301568661
834	0.1295980077
835	0.1294528482
836	0.1292391413
837	0.1288515905
838	0.1287588977
839	0.1285031636
840	0.1281939358
841	0.1279223236
842	0.1278475033
843	0.1276108306
844	0.1272844768
845	0.1270599837
846	0.1265769179
847	0.1261023281
848	0.1258251341
849	0.1255787907
850	0.125062655
851	0.1249081397
852	0.1246636479
853	0.1243690641
854	0.1242725992
855	0.1241633959
856	0.1241443468
857	0.1239808929
858	0.1236622887
859	0.1234621998
860	0.1232615721
861	0.12279677
862	0.1224502614
863	0.1224302032
864	0.1221122642
865	0.1218031148
866	0.1215651566
867	0.1215478799
868	0.1215082584
869	0.1212876203
870	0.1211306468
871	0.1209504136
872	0.120715659
873	0.1202275876
874	0.1201887719
875	0.1200367412
876	0.1198891913
877	0.1196201218
878	0.1193631704
879	0.1191504509
880	0.1191166848
881	0.1188970247
882	0.1185608966
883	0.1183140324
884	0.1180592771
885	0.1180089336
886	0.1179907694
887	0.1176996186
888	0.1176665189
889	0.1173988724
890	0.117016291
891	0.1167639245
892	0.1164515613
893	0.1161868602
894	0.116154429
895	0.1158635076
896	0.1155111261
897	0.1154794841
898	0.1151870046
899	0.1151624014
900	0.114910944
901	0.1145937429
902	0.1144621781
903	0.1141274126
904	0.1139112222
905	0.1133608508
906	0.1133469505
907	0.1131992546
908	0.1131840282
909	0.1129385909
910	0.1128034638
911	0.1125288616
912	0.1125155397
913	0.1124343101
914	0.1121695515
915	0.1117723629
916	0.1117402653
917	0.1117123572
918	0.1116336409
919	0.1115436183
920	0.111521068
921	0.1112896517
922	0.1111657594
923	0.1107258627
924	0.1105331394
925	0.1103146407
926	0.1102269117
927	0.109797634
928	0.1097630727
929	0.1096851998
930	0.1093966677
931	0.1090854482
932	0.1087670175
933	0.1083815616
934	0.1083112729
935	0.1080291126
936	0.1080080678
937	0.1079789749
938	0.1078392554
939	0.1075935465
940	0.1073582197
941	0.107088694
942	0.1068345756
943	0.1066440423
944	0.1066159934
945	0.1063400049
946	0.1063219069
947	0.1062135676
948	0.1059907573
949	0.10590857
950	0.1058352085
951	0.105727807
952	0.1055487828
953	0.1052991656
954	0.1049056948
955	0.1044848369
956	0.104346626
957	0.1040667185
958	0.1040390356
959	0.103824635
960	0.1034795965
961	0.1030948551
962	0.1030328251
963	0.1030054351
964	0.1028461777
965	0.1025657951
966	0.1025524107
967	0.1022607943
968	0.1019997678
969	0.1019837853
970	0.1018693677
971	0.1015266142
972	0.1012054993
973	0.1009879747
974	0.1007245606
975	0.1006008862
976	0.1005598956
977	0.1002692152
978	0.1000490662
979	0.0999793401
980	0.09970662913
981	0.09943913196
982	0.09936873284
983	0.09894971519
984	0.0988235554
985	0.09867921928
986	0.09843220528
987	0.09818427519
988	0.09797283968
989	0.0976643033
990	0.09752818489
991	0.09730001114
992	0.09728688443
993	0.09702971717
994	0.0970113512
995	0.09668230418
996	0.09636037439
997	0.09624300405
998	0.09601538454
999	0.09578633148
